 TYSERS                                                      ~TYSERS INSURANCE BROKERS LIMITED        ~                                        ~71 Fenchurch Street -                   ~                                        ~LONDON EC3M 4BS                         ~EC3M 4BS~LONDON                          ~GBR~   ~71~1
INTEGRA                                                     ~INTEGRA TECHNICAL SERVICES              ~                                        ~148 Leadenhall Street                   ~                                        ~London EC3V 4QT                         ~ ~London                          ~GBR~   ~148~1
IUA                                                         ~INT'L UNDERWRITING ASSOC OF LONDON      ~                                        ~1 Minster Court Mincing Lane            ~                                        ~LONDON EC3R 7AA                         ~ ~LONDON                          ~GBR~   ~1~1
IUA                                                         ~INT'L UNDERWRITING ASSOC OF LONDON      ~                                        ~1 Minster Court Mincing Lane            ~                                        ~LONDON EC3R 7AA                         ~ ~LONDON                          ~GBR~   ~1~1
IUA                                                         ~INT'L UNDERWRITING ASSOC OF LONDON      ~                                        ~1 Minster Court Mincing Lane            ~                                        ~LONDON EC3R 7AA                         ~ ~LONDON                          ~GBR~   ~1~1
IUA                                                         ~INT'L UNDERWRITING ASSOC OF LONDON      ~                                        ~1 Minster Court Mincing Lane            ~                                        ~LONDON EC3R 7AA                         ~ ~LONDON                          ~GBR~   ~1~1
IUA                                                         ~INT'L UNDERWRITING ASSOC OF LONDON      ~                                        ~1 Minster Court Mincing Lane            ~                                        ~LONDON EC3R 7AA                         ~ ~LONDON                          ~GBR~   ~1~1
IUA                                                         ~INT'L UNDERWRITING ASSOC OF LONDON      ~                                        ~1 Minster Court Mincing Lane            ~                                        ~LONDON EC3R 7AA                         ~ ~LONDON                          ~GBR~   ~1~1
IUA                                                         ~INT'L UNDERWRITING ASSOC OF LONDON      ~                                        ~1 Minster Court Mincing Lane            ~                                        ~LONDON EC3R 7AA                         ~ ~LONDON                          ~GBR~   ~1~1
IUA                                                         ~INT'L UNDERWRITING ASSOC OF LONDON      ~                                        ~1 Minster Court Mincing Lane            ~                                        ~LONDON EC3R 7AA                         ~ ~LONDON                          ~GBR~   ~1~1
IUA                                                         ~INT'L UNDERWRITING ASSOC OF LONDON      ~                                        ~1 Minster Court Mincing Lane            ~                                        ~LONDON EC3R 7AA                         ~ ~LONDON                          ~GBR~   ~1~1
IUA                                                         ~INT'L UNDERWRITING ASSOC OF LONDON      ~                                        ~1 Minster Court Mincing Lane            ~                                        ~LONDON EC3R 7AA                         ~ ~LONDON                          ~GBR~   ~1~1
